кот|домашнее животное семейства кошачьих
топор|инструмент для рубки дерева
радуга|разноцветная дуга на небе после дождя
арбуз|большая полосатая ягода
зал|большое помещение для собраний
луна|спутник Земли
арка|изогнутый проход в стене
атлас|географическая карта
слон|крупное животное с хоботом
нос|орган обоняния
сад|участок с плодовыми деревьями
дом|строение для жилья
мост|сооружение через реку
танк|боевая машина
корабль|судно для плавания
лес|много деревьев
сок|напиток из фруктов
кран|устройство для воды
небо|пространство над землёй
облако|белое образование на небе
окно|проём в стене для света
остров|участок суши в воде
воздух|то, чем мы дышим
хлеб|продукт из муки
борщ|традиционное блюдо
щит|оборонительное вооружение
танец|движения под музыку
цирк|место для представлений
крыша|верхняя часть дома
аист|крупная перелётная птица
трава|зелёное растение
акула|хищная морская рыба
автобус|транспортное средство
сыр|молочный продукт
рыба|водное животное
алмаз|драгоценный камень
звезда|небесное тело
адрес|место нахождения
собака|домашнее животное
альбом|книга для фотографий
мир|планета Земля
река|водный поток
апельсин|цитрусовый фрукт
насос|устройство для перекачки
сахар|сладкое вещество
роза|цветок с шипами
аквариум|ёмкость для рыб
метро|подземный транспорт
орёл|хищная птица
лампа|источник света
абрикос|фрукт с косточкой
стол|предмет мебели
лодка|небольшое судно
ананас|тропический фрукт
сумка|сумка для ношения вещей
амбар|помещение для зерна
рама|обрамление для картины
азбука|система письменности
арена|площадка для выступлений
астра|цветок с лепестками
акация|дерево с жёлтыми цветами
антилопа|быстрое африканское животное
аптека|место продажи лекарств
акварель|техника живописи
алоэ|лечебное растение
