кот|домашнее животное семейства кошачьих
собака|домашнее животное, друг человека
солнце|звезда в центре Солнечной системы
луна|естественный спутник Земли
компьютер|электронное вычислительное устройство
программирование|процесс создания компьютерных программ
кроссворд|игра-головоломка со словами
словарь|собрание слов с их определениями
весна|время года между зимой и летом
осень|время года между летом и зимой
книга|печатное издание в виде переплетённых листов
музыка|искусство звуков во времени
танец|вид искусства, в котором движение тела создаёт образ
живопись|вид изобразительного искусства
скульптура|вид изобразительного искусства, трёхмерное произведение
театр|род искусства, где произведения исполняются на сцене
кино|искусство создания движущихся изображений
фотография|искусство создания изображений с помощью света
архитектура|искусство проектирования и строительства зданий
дизайн|творческая деятельность по проектированию

